"﻿Област","Населено място","училище","училище","Училище","БЕЛ Ср.усп.","БЕЛ Бр.","МАТ Ср.усп.","МАТ Бр.","ИСТ Ср.усп.","ИСТ Бр.","ФА Ср.усп.","ФА Бр.","ГЕО Ср.усп.","ГЕО Бр.","ХООС Ср.усп.","ХООС Бр.","ФИЛ Ср.усп.","ФИЛ Бр.","БЗО Ср.усп.","БЗО Бр.","АЕ Ср.усп.","АЕ Бр.","РЕ Ср.усп.","РЕ Бр.","НЕ Ср.усп.","НЕ Бр.","ИспЕ Ср.усп.","ИспЕ Бр.","ФрЕ Ср.усп.","ФрЕ Бр.","ИтЕ Ср.усп.","ИтЕ Бр.","2ДЗИ Ср.усп.","2ДЗИ Бр.","ср.успех","общо"
"Благоевград","Банско","Държавно","професионална гимназия","Професионална гимназия по електроника и енергетика","4,08","41","","","","","5,4","4","3,64","24","","","","","3,78","1","4,58","10","6","1","","","","","","","","","4,111","40","4,093","81"
"Благоевград","Банско","Общинско","професионална гимназия","Професионална гимназия по селско   стопанство и туризъм","3,31","20","","","3,45","1","","","2,96","13","2,88","1","","","4,32","2","","","","","","","","","","","","","3,144","17","3,235","37"
"Благоевград","Банско","Общинско","професионална гимназия","Професионална лесотехническа гимназия","3,39","25","","","","","","","3,22","17","","","","","4,45","9","","","","","","","","","","","","","3,642","26","3,52","51"
"Благоевград","Белица","Общинско","гимназия (ІХ - ХІІ клас)","Гимназия ""Никола Йонков Вапцаров""","3,5","13","","","","","","","3,84","13","","","","","","","","","","","","","","","","","","","3,843","13","3,67","26"
"Благоевград","Белица","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,17","38","4,75","1","","","","","4,09","13","","","5,29","1","3,75","18","4,32","5","","","","","","","","","","","4,006","38","4,086","76"
"Благоевград","Благоевград","Общинско","профилирана гимназия","Езикова гимназия","5,12","145","4,62","6","","","5,79","1","3,6","16","5,89","1","4,86","4","5,12","10","5,49","71","","","5,58","25","","","5,26","11","","","5,204","145","5,164","290"
"Благоевград","Благоевград","Общинско","профилирана гимназия","Национална хуманитарна гимназия","4,17","95","","","3,32","13","","","3,45","9","4,15","3","4,11","15","4,17","27","4,59","26","","","","","5,42","3","","","","","4,129","96","4,15","191"
"Благоевград","Благоевград","общинско","общообразователно","V Средно общообразователно училище ""Георги Измирлиев""","","","","","","","","","2,93","3","","","","","","","","","","","","","","","","","","","2,927","3","2,927","3"
"Благоевград","Благоевград","Общинско","профилирана гимназия","Природо-математическа гимназия   Акад. Сергей  Павлович  Корольов","4,7","141","5,48","58","4,17","3","5,01","2","3,79","13","5,56","8","3,9","2","5,32","19","5,24","37","","","","","","","","","","","5,189","142","4,943","283"
"Благоевград","Благоевград","Общинско","професионална гимназия","Благоевградска професионална гимназия","3,23","39","","","","","","","3,05","40","","","3,28","1","","","2","1","","","","","","","","","","","3,028","42","3,127","81"
"Благоевград","Благоевград","Държавно","професионална гимназия","Професионална гимназия по икономика","4,35","124","3,12","4","4,2","4","","","3,89","60","","","4,12","17","4,7","18","4,64","21","4,34","3","","","","","","","","","4,157","127","4,254","251"
"Благоевград","Благоевград","Общинско","професионална гимназия","Професионална гимназия   по туризъм и лека промишленост","3,56","18","","","","","","","","","","","","","3,7","20","","","","","","","","","","","","","3,697","20","3,634","38"
"Благоевград","Благоевград","Държавно","професионална гимназия","Професионална гимназия по   строителство, архитектура и геодезия","4","64","4,54","5","3,18","1","","","3,32","12","","","4,19","15","4,07","21","4,54","11","","","","","","","","","","","4,06","65","4,032","129"
"Благоевград","Благоевград","Общинско","СОУ (І - ХІІ клас)","Седмо средно общообразователно  училище","3,98","18","","","5,98","1","","","4,23","4","","","4,01","3","3,85","6","4,33","4","","","","","","","","","","","4,184","18","4,08","36"
"Благоевград","Благоевград","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище с изучаване   на чужди езици","4,15","20","","","","","","","4,34","2","5,95","1","3,78","2","4,23","3","4,64","12","","","","","","","","","","","4,529","20","4,338","40"
"Благоевград","Благоевград","общинско","общообразователно","Средно общообразователно училище""Иван Вазов""","3,53","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,53","1"
"Благоевград","Благоевград","Частно","V - ХІІ клас","Частно вечерно средно   общообразователно училище","3,22","14","","","","","","","2,99","4","","","","","3,75","7","2,53","1","","","","","","","","","","","3,396","12","3,299","26"
"Благоевград","Брезница","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,98","21","","","4,35","1","","","","","","","","","4,55","20","","","","","","","","","","","","","4,536","21","4,26","42"
"Благоевград","Гоце Делчев","Държавно","професионална гимназия","Неврокопска професионална  гимназия","4,01","161","4,06","3","4,54","2","","","3,47","58","","","3,58","2","3,77","69","4,05","24","5,72","1","","","","","","","","","3,73","159","3,873","320"
"Благоевград","Гоце Делчев","Общинско","профилирана гимназия","Природо-математическа гимназия","4,89","135","5,42","13","4,22","6","5,49","1","3,61","15","5,84","1","5,41","6","4,72","55","4,92","36","","","4,29","3","","","","","","","4,731","136","4,812","271"
"Благоевград","Гоце Делчев","Държавно","професионална гимназия","Професионална гимназия по механизация    на селското стопанство","3,22","41","","","","","","","3,2","18","","","","","3,28","26","","","","","","","","","","","","","3,245","44","3,231","85"
"Благоевград","Гърмен","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Св. Св. Кирил и Методий"", с. Гърмен","2,95","7","","","","","","","3,05","5","","","","","3,39","1","","","","","","","","","","","","","3,103","6","3,023","13"
"Благоевград","Рибново","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Йордан Йовков""","3,87","41","4,38","1","","","","","3,36","31","","","4,16","9","4,07","1","","","","","","","","","","","","","3,571","42","3,718","83"
"Благоевград","Кресна","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Св.Паисий Хилендарски""","3,95","16","","","3,94","3","","","3,11","9","","","","","4,68","4","4,67","1","","","","","","","","","","","3,718","17","3,832","33"
"Благоевград","Коларово","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Васил Левски""","3,65","20","","","5,29","2","","","3,49","17","","","","","5,35","1","","","","","","","","","","","","","3,763","20","3,708","40"
"Благоевград","Петрич","Общинско","гимназия (ІХ - ХІІ клас)","Гимназия  ""Пейо Яворов""","4,2","123","4,09","26","4,57","3","","","3,74","2","","","4,47","6","4,14","75","5,57","11","","","","","","","","","","","4,278","123","4,239","246"
"Благоевград","Петрич","Държавно","професионална гимназия","Професионална гимназия по икономика и туризъм","3,69","75","","","3,2","1","","","3,56","4","","","3,7","1","3,93","60","5,59","5","","","","","","","","","","","4,015","71","3,847","146"
"Благоевград","Петрич","Държавно","професионална гимназия","Професионална гимназия по   механоелектротехника","3,07","103","","","","","","","2,84","71","","","3,14","1","3,37","22","3,84","1","","","","","","","","","","","2,98","95","3,029","198"
"Благоевград","Петрич","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","2,93","3","","","","","","","2,8","2","","","","","2,53","1","","","","","","","","","","","","","2,707","3","2,817","6"
"Благоевград","Петрич","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище  ""Н.Й.Вапцаров""","4,12","18","3,54","2","","","","","3,13","1","","","","","4,18","11","4,83","4","","","","","","","","","","","4,192","18","4,158","36"
"Благоевград","Първомай","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,22","25","6","2","","","","","4,75","1","","","","","4,31","22","","","","","","","","","","","","","4,467","25","4,341","50"
"Благоевград","Разлог","Държавно","професионална гимназия","Професионална гимназия по  туризъм и   хранителни технологии","3,81","70","","","","","","","3,31","51","","","3,71","3","4,04","10","4,3","7","","","","","","","","","","","3,527","71","3,668","141"
"Благоевград","Разлог","Държавно","професионална гимназия","Професионална гимназия   по механизация на селското стопанствo","3,09","52","","","","","","","2,87","49","","","","","","","","","","","","","","","","","","","2,866","49","2,982","101"
"Благоевград","Разлог","Държавно","професионална гимназия","Професионална гимназия по транспорт","3,4","58","","","","","","","3,3","56","","","","","4,54","3","4,59","5","","","","","","","","","","","3,463","64","3,434","122"
"Благоевград","Разлог","Общинско","СОУ (І - ХІІ клас)","Средно  общообразователно училище","4,61","42","5,49","3","","","","","4,64","3","","","4,78","1","4,37","16","4,93","19","","","","","","","","","","","4,734","42","4,67","84"
"Благоевград","Сандански","Общинско","гимназия (ІХ - ХІІ клас)","Вечерна гимназия","3,11","22","","","","","","","2,89","16","","","","","3,18","4","3,24","1","","","","","","","","","","","2,96","21","3,034","43"
"Благоевград","Сандански","Общинско","гимназия (ІХ - ХІІ клас)","Гимназия ""Яне Сандански""","4,36","118","5,43","22","4,1","2","","","3,62","13","","","5,18","1","4,12","42","4,58","39","","","","","","","","","","","4,465","119","4,411","237"
"Благоевград","Сандански","Държавно","професионална гимназия","Земеделска професионална гимназия","4,08","127","5,09","1","4,61","1","","","3,89","49","","","5,61","3","4,23","64","5,27","7","","","","","","","","","","","4,198","125","4,136","252"
"Благоевград","Сандански","Държавно","професионална гимназия","Професионална техническа гимназия","3,27","41","","","3,03","7","","","2,79","10","","","","","3,48","19","4,42","6","","","","","","","","","","","3,374","42","3,324","83"
"Благоевград","Вълкосел","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно  училище","4,37","26","","","","","","","3,32","4","","","","","5,39","22","","","","","","","","","","","","","5,071","26","4,718","52"
"Благоевград","Кочан","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,28","25","6","2","","","","","4,07","12","","","3,98","3","5,16","7","4,64","1","","","","","","","","","","","4,543","25","4,41","50"
"Благоевград","Сатовча","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,25","20","","","","","","","4,39","18","5,81","1","3,64","1","","","","","","","","","","","","","","","4,419","20","4,335","40"
"Благоевград","Слащен","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,27","37","4,78","1","3,29","1","","","4,39","5","","","4,24","8","5,13","21","","","","","","","","","","","","","4,767","36","4,513","73"
"Благоевград","Крупник","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","2,9","16","","","4,07","1","","","2,53","10","","","2,99","7","","","","","","","","","","","","","","","2,791","18","2,841","34"
"Благоевград","Симитли","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно   училище","3,61","26","","","","","","","3,64","18","4,78","1","","","4,93","3","5,34","2","","","","","","","","","","","3,989","24","3,792","50"
"Благоевград","Абланица","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище  ,,Св. Паисий Хилендарски","4,07","23","","","","","","","4,81","1","","","4,67","1","4","20","4,64","1","","","","","","","","","","","4,088","23","4,079","46"
"Благоевград","Хаджидимово","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Никола Вапцаров""","3,72","30","5,02","4","","","","","","","","","","","3,5","25","4,87","1","","","","","","","","","","","3,749","30","3,734","60"
"Благоевград","Якоруда","Държавно","професионална гимназия","Професионална гимназия  по машиностроене","3,23","63","","","4,43","1","","","2,9","53","","","","","4,06","7","","","","","","","","","","","","","3,061","61","3,145","124"
"Благоевград","Якоруда","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище "" Св.св.Кирил и Методий"" гр.Якоруда","3,8","37","","","5,15","2","","","3,64","30","","","","","","","4,11","6","","","","","","","","","","","3,797","38","3,801","75"
"Бургас","","общинско","общообразователно","РИО БУРГАС","4,27","2","","","","","","","","","","","4,95","1","","","","","","","","","","","","","","","4,95","1","4,493","3"
"Бургас","Айтос","Държавно","професионална гимназия","Професионална гимназия   по селско стопанство","2,97","131","","","","","","","3,04","24","","","","","3,34","96","","","","","","","","","","","","","3,281","120","3,117","251"
"Бургас","Айтос","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище""Никола Йонков Вапцаров""","3,71","59","","","","","","","3,44","48","","","4","4","4,54","8","4,29","2","","","","","","","","","","","3,642","62","3,677","121"
"Бургас","Айтос","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,91","47","","","4,37","5","5,57","1","3,92","10","","","","","4,4","29","4,65","2","","","","","","","","","","","4,332","47","4,122","94"
"Бургас","Бургас","Общинско","гимназия (ІХ - ХІІ клас)","Вечерна гимназия ""Захари Стоянов""-Бургас","3,35","65","","","3,17","1","","","3,1","15","","","3,33","27","3,53","21","3,55","2","4,66","2","","","","","","","","","3,385","68","3,369","133"
"Бургас","Бургас","Общинско","профилирана гимназия","Гимназия за романски езици ""Г.С.Раковски""","4,71","192","3,89","7","4,22","2","","","4,25","6","","","4,12","25","4,95","20","4,99","78","","","","","5,25","34","4,78","16","4,73","4","4,825","192","4,767","384"
"Бургас","Бургас","Общинско","профилирана гимназия","Гимназия за чужди езици","4,49","129","","","","","","","4,08","2","","","4,08","7","4,57","20","4,89","24","5,3","76","5,01","1","","","","","","","5,024","130","4,759","259"
"Бургас","Бургас","Общинско","профилирана гимназия","Гимназия с преподаване  на английски език","5,14","162","4,24","1","","","","","","","","","","","4,64","6","5,5","154","","","5,5","1","","","","","","","5,458","162","5,298","324"
"Бургас","Бургас","Общинско","профилирана гимназия","Гимназия с преподаване на немски език ""Гьоте""","5,26","155","4,66","3","3,34","1","","","5,15","2","","","4,5","1","5,8","3","5,52","52","","","5,43","93","","","","","","","5,432","155","5,344","310"
"Бургас","Бургас","Държавно","по изкуствата","Национално училище за музикално и сценично изкуство","4,5","21","","","","","","","4,11","2","","","2,97","1","4,95","10","4,6","8","","","","","","","","","","","4,64","21","4,57","42"
"Бургас","Бургас","Общинско","профилирана гимназия","Природоматематическа гимназия","5,25","155","5,49","100","","","5,88","1","5,63","1","5,07","1","5,05","8","5,87","10","5,6","33","5,21","1","","","","","","","","","5,51","155","5,382","310"
"Бургас","Бургас","Общинско","професионална гимназия","Професионална гимназия по   електротехника и електроника","3,8","94","2,57","1","3,37","2","3,5","2","3,46","15","","","3,96","6","4,22","49","4,39","21","","","","","","","","","","","4,071","96","3,935","190"
"Бургас","Бургас","Общинско","професионална гимназия","Професионална гимназия по   дървообработване","3,13","35","","","","","","","2,99","8","","","3,13","9","3,21","17","3,57","4","","","","","","","","","","","3,18","38","3,158","73"
"Бургас","Бургас","Общинско","професионална гимназия","Професионална гимназия по механоелектротехника и електроника","3,9","176","3,57","11","3,24","1","4,75","1","3,94","18","","","3,5","52","4,09","38","4,46","59","","","","","","","","","","","3,99","180","3,947","356"
"Бургас","Бургас","Държавно","професионална гимназия","Професионална гимназия по морско   корабоплаване и риболов","3,73","14","","","","","","","","","","","4,21","1","4,32","10","4,03","6","","","","","","","","","","","4,214","17","3,993","31"
"Бургас","Бургас","Общинско","професионална гимназия","Професионална гимназия   по сградостроителство и инсталации","3,29","15","","","","","","","2,93","6","","","3,35","1","3,36","5","","","","","","","","","","","","","3,143","12","3,225","27"
"Бургас","Бургас","Общинско","професионална гимназия","Професионална гимназия по строителство,  архитектура и геодезия","4,16","151","4,21","33","3,25","3","","","3,82","7","","","3,92","59","4,89","21","4,4","26","","","4,95","1","","","","","","","4,192","150","4,177","301"
"Бургас","Бургас","Общинско","професионална гимназия","Професионална гимназия по транспорт","3,32","42","","","","","","","","","","","3,37","13","3,31","25","3,76","2","3,22","1","","","","","","","","","3,349","41","3,336","83"
"Бургас","Бургас","Общинско","професионална гимназия","Професионална гимназия по туризъм  гр.Бургас","3,83","185","4,04","1","4,08","4","","","3,33","8","3,28","1","3,76","48","3,81","101","4,45","20","4,87","1","4,01","1","","","","","","","3,859","185","3,843","370"
"Бургас","Бургас","Държавно","професионална гимназия","Професионална гимназия   по химични технологии","3,68","99","2,66","3","3,31","4","","","3,14","9","","","3,44","35","4,11","36","4,76","11","3,41","1","","","","","","","","","3,774","99","3,725","198"
"Бургас","Бургас","Държавно","професионална гимназия","Професионална техническа гимназия","3,49","9","","","","","","","2,93","3","","","3,28","7","3,61","1","","","","","","","","","","","","","3,215","11","3,339","20"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,8","96","3,87","1","3,74","7","","","4,09","11","","","3,62","34","4,61","18","5,13","26","","","","","","","","","","","4,272","97","4,035","193"
"Бургас","Бургас","Държавно","спортно","Спортно училище Юрий Гагарин","3,35","49","","","3,71","3","","","","","","","3,18","28","3,69","12","3,75","2","","","","","","","","","","","3,379","45","3,363","94"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,58","21","","","","","","","2,84","1","","","3,31","18","4,07","1","5,38","1","","","","","","","","","","","3,419","21","3,5","42"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,71","13","3,15","1","","","","","3,78","1","","","","","4,08","10","4,7","1","","","","","","","","","","","4,036","13","3,871","26"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище   "" Епископ Константин Преславски""","3,65","39","","","","","","","3,61","1","","","3,61","8","4,12","19","4,23","9","2,99","2","","","","","","","","","3,967","39","3,808","78"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,24","16","","","","","","","2,7","1","","","3,12","12","3,17","4","3,29","1","","","","","","","","","","","3,118","18","3,177","34"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Димчо Дебелянов""","3,68","16","","","","","","","2,66","1","","","3,59","3","3,88","9","4,64","5","","","","","","","","","","","3,974","18","3,834","34"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище   ,,Добри Чинтулов","3,21","23","","","","","","","2,58","2","3,73","1","3,3","2","3,39","19","5,07","1","","","","","","","","","","","3,398","25","3,306","48"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно  училище","","","","","","","","","2,57","2","","","","","3,14","1","","","","","","","","","","","","","2,76","3","2,76","3"
"Бургас","Бургас","Общинско","професионална гимназия","Търговска гимназия","4,94","168","4,35","16","","","","","4,44","27","","","4,27","20","5,1","44","5,09","58","","","5,86","2","","","","","","","4,828","167","4,882","335"
"Бургас","Бургас","Частно","профилирана гимназия","Частна  профилирана гимназия с изучаване на английски език","4,12","7","","","","","","","3,28","1","","","4,23","2","","","4,74","4","","","","","","","","","5,61","1","4,535","8","4,342","15"
