"﻿Област","Община","Населено място","Код по Админ","Училище","БЕЛ Ср.Усп","БЕЛ Бр.","МАТ Ср.Усп","МАТ Бр.","ИЦ Ср.Усп","ИЦ Бр.","ФА Ср.Усп","ФА Бр.","ГИ Ср.Усп","ГИ Бр.","ХООС Ср.Усп","ХООС Бр.","ФИЛ Ср.Усп","ФИЛ Бр.","БЗО Ср.Усп","БЗО Бр.","АЕ Ср.Усп","АЕ Бр.","РЕ Ср.Усп","РЕ Бр.","НЕ Ср.Усп","НЕ Бр.","ИспЕ Ср.Усп","ИспЕ Бр.","ФрЕ Ср.Усп","ФрЕ Бр.","ИтЕ Ср.Усп","ИтЕ Бр.","2ДЗИ Ср.Усп","2ДЗИ Бр.","ср.успех","общо"
"Благоевград","Банско","Банско","102015","Професионална гимназия по електроника и енергетика","4","37","","","4,43","1","4,19","7","3,39","25","","","3,49","1","","","4,89","4","","","","","","","","","","","3,72","38","3,86","75"
"Благоевград","Банско","Банско","102010","Професионална гимназия по селско стопанство и туризъм ""Алеко Константинов""","3,59","17","","","","","","","2,88","4","","","","","","","3,15","2","","","","","","","","","","","2,97","6","3,43","23"
"Благоевград","Банско","Банско","102004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","3,35","33","","","","","","","2,77","18","","","","","4,73","16","5,81","1","","","","","","","","","","","3,75","35","3,56","68"
"Благоевград","Белица","Белица","105002","Професионална гимназия ""Никола Йонков Вапцаров""","3,52","26","","","","","","","3,01","1","","","","","","","","","","","","","","","","","","","3,01","1","3,5","27"
"Благоевград","Белица","Белица","105001","Средно училище ""Св.Св.Кирил и Методий""","3,9","58","3,34","1","","","","","3,72","30","","","","","4,84","25","4,26","1","","","","","","","","","","","4,21","57","4,05","115"
"Благоевград","Благоевград","Благоевград","100190","Езикова гимназия ""Акад. Людмил Стоянов""","5,21","152","4,74","4","5,69","3","","","4,3","6","6","1","4,44","7","5,06","9","5,64","85","","","5,6","19","5,24","3","5,09","15","","","5,41","152","5,31","304"
"Благоевград","Благоевград","Благоевград","101870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","4,23","96","3,01","1","3,61","9","4,42","4","3,48","11","","","3,98","23","3,8","23","5,26","24","","","","","5,42","2","","","","","4,2","97","4,22","193"
"Благоевград","Благоевград","Благоевград","102060","Пето средно училище ""Георги Измирлиев""","3,82","37","","","","","","","3,38","16","","","3,1","1","4,4","16","4,85","3","","","","","","","","","","","3,95","36","3,88","73"
"Благоевград","Благоевград","Благоевград","100200","Природо-математическа гимназия Акад. Сергей Корольов","5,08","154","5,01","51","5,66","2","","","4,28","14","5,63","6","4,9","5","5,42","23","5,71","41","4,58","3","5,56","9","","","","","","","5,24","154","5,16","308"
"Благоевград","Благоевград","Благоевград","100052","Благоевградска професионална гимназия","3,2","34","","","","","","","2,95","13","","","","","3,34","10","4,5","2","","","","","","","","","","","3,23","25","3,21","59"
"Благоевград","Благоевград","Благоевград","100280","Професионална гимназия по икономика ""Иван Илиев""","4,37","117","","","4,01","1","","","3,47","11","","","3,92","2","4,07","13","5,59","11","","","","","","","","","","","4,33","38","4,36","155"
"Благоевград","Благоевград","Благоевград","101730","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","3,49","29","","","","","","","2,79","1","","","","","","","","","","","","","","","","","","","2,79","1","3,47","30"
"Благоевград","Благоевград","Благоевград","100300","Професионална гимназия по строителство, архитектура и геодезия "" Васил Левски""","4,03","63","4,54","2","4,46","1","","","2,79","4","","","3,82","32","4,06","8","5,29","6","","","","","","","","","","","3,98","53","4,01","116"
"Благоевград","Благоевград","Благоевград","100070","Седмо средно училище ""Кузман Шапкарев""","3,1","1","","","","","","","2,84","1","","","","","","","","","","","","","","","","","","","2,84","1","2,97","2"
"Благоевград","Благоевград","Благоевград","101250","Средно училище с изучаване на чужди езици ""Св. Климент Охридски""","3,79","22","","","","","","","","","","","3,46","2","4,29","8","4,75","10","3,71","2","","","","","","","","","4,37","22","4,08","44"
"Благоевград","Благоевград","Благоевград","109174","Частно вечерно средно училище ""Димитър и Йоан""","3,16","14","","","3,57","2","","","3,29","5","","","","","2,54","3","4,09","3","","","","","","","","","","","3,35","13","3,25","27"
"Благоевград","Гоце Делчев","Брезница","103401","Средно училище ""Св. Св. Кирил и Методий""","3,58","27","","","","","","","","","","","","","4,28","25","5,26","2","","","","","","","","","","","4,35","27","3,96","54"
"Благоевград","Гоце Делчев","Гоце Делчев","102001","Неврокопска професионална гимназия ""Димитър Талев""","3,84","147","3,79","2","5,57","1","","","3,41","32","","","","","3,82","14","4,32","6","","","","","","","","","","","3,66","55","3,79","202"
"Благоевград","Гоце Делчев","Гоце Делчев","102002","Природо-математическа гимназия ""Яне Сандански""","4,81","123","5,34","23","4,6","7","","","4,29","7","5,99","2","4,88","12","5,17","43","5,44","28","4,67","1","","","","","","","","","5,16","123","4,98","246"
"Благоевград","Гоце Делчев","Гоце Делчев","102016","Професионална гимназия по механизация на селското стопанство ""Пейо Крачолов Яворов""","3,34","31","","","3,5","5","","","3,41","3","","","","","3,32","20","","","","","","","","","","","","","3,36","28","3,35","59"
"Благоевград","Гърмен","Гърмен","101301","Средно училище ""Св.Св.Кирил и Методий""","3,63","12","3,84","1","","","","","4,03","3","","","","","4,7","7","","","","","","","","","","","","","4,44","11","4,02","23"
"Благоевград","Гърмен","Рибново","103002","Средно училище ""Йордан Йовков""","3,66","26","4,03","3","","","","","3,27","9","","","4,1","21","","","","","","","","","","","","","","","3,87","33","3,78","59"
"Благоевград","Кресна","Кресна","105101","Средно училище ""Св.Паисий Хилендарски""","3,76","17","2,37","1","","","","","3,56","9","","","","","3,9","6","5,99","1","","","","","","","","","","","3,75","17","3,76","34"
"Благоевград","Петрич","Коларово","104003","Средно училище ""Васил Левски""","4,03","11","4,84","1","","","","","4,12","10","","","","","","","","","","","","","","","","","","","4,18","11","4,11","22"
"Благоевград","Петрич","Петрич","104001","Профилирана гимназия ""Пейо Крачолов Яворов""","4,24","139","4,2","25","3,9","6","","","4,06","4","","","4,02","33","4,54","53","5,23","17","","","","","","","","","","","4,4","138","4,32","277"
"Благоевград","Петрич","Петрич","102014","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","3,7","99","4,18","1","2,76","2","","","2,81","9","","","","","3,71","71","5,29","2","","","","","","","","","","","3,63","85","3,67","184"
"Благоевград","Петрич","Петрич","102009","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","3,27","59","","","3,01","1","","","2,9","21","","","","","3,45","27","","","","","","","","","","","","","3,21","49","3,24","108"
"Благоевград","Петрич","Петрич","104002","Средно училище ""Антон Попов""","3,92","1","","","","","","","2,35","1","","","","","3,5","1","","","","","","","","","","","","","2,93","2","3,26","3"
"Благоевград","Петрич","Петрич","103310","Средно училище ""Никола Йонков Вапцаров""","4,37","28","4,09","6","5,09","1","","","4,53","1","","","","","4,05","13","5,54","7","","","","","","","","","","","4,49","28","4,43","56"
"Благоевград","Петрич","Първомай","104004","Средно училище ""Св.Паисий Хилендарски""","4,45","17","4,26","1","","","","","4,58","1","","","","","4,91","14","5,88","1","","","","","","","","","","","4,91","17","4,68","34"
"Благоевград","Разлог","Разлог","102012","Професионална гимназия по туризъм и хранителни технологии ""Никола Стойчев""","3,92","63","","","","","","","3,04","15","","","","","3,78","7","5,3","7","","","","","","","","","","","3,76","29","3,87","92"
"Благоевград","Разлог","Разлог","102017","Професионална гимназия по механизация на селското стопанствo","3,47","57","","","","","","","3,33","5","","","","","","","","","","","","","","","","","","","3,33","5","3,46","62"
"Благоевград","Разлог","Разлог","102113","Професионална гимназия по транспорт","3,34","61","","","4,54","2","","","2,82","14","","","","","3,42","1","4,95","1","","","","","","","","","","","3,16","18","3,3","79"
"Благоевград","Разлог","Разлог","103501","Средно училище ""Братя Петър и Иван Каназиреви""","5,02","57","4,81","10","","","","","4,67","9","","","4,11","5","4,7","4","5,43","29","","","","","","","","","","","5,03","57","5,03","114"
"Благоевград","Сандански","Сандански","108021","Вечерна профилирана гимназия","3,09","14","","","","","","","2,88","13","","","","","3,22","3","","","","","","","","","","","","","2,95","16","3,01","30"
"Благоевград","Сандански","Сандански","104101","Профилирана гимназия ""Яне Сандански""","4,2","140","4,65","25","3,86","6","","","3,5","56","3,95","1","3,35","1","2,92","12","5,35","38","5,9","2","","","","","","","","","4,2","141","4,2","281"
"Благоевград","Сандански","Сандански","102013","Земеделска професионална гимназия ""Климент Аркадиевич Тимирязев""","4,17","109","","","4,13","3","","","3,45","13","","","5,42","3","4,19","28","5,3","8","","","","","","","","","","","4,24","55","4,19","164"
"Благоевград","Сандански","Сандански","102007","Професионална техническа гимназия","3,46","22","3,57","3","5,04","1","","","2,74","3","","","","","3,63","9","5,7","1","","","","","","","","","","","3,67","17","3,55","39"
"Благоевград","Сандански","Сандански","109185","Спортно училище","3,72","18","3,36","1","","","","","3,61","6","","","","","3,81","3","4,58","3","","","","","","","","","","","3,86","13","3,78","31"
"Благоевград","Сатовча","Вълкосел","109030","Средно училище ""Христо Ботев""","4,05","33","4,68","5","4,56","3","","","","","5,74","3","","","4,35","22","","","","","","","","","","","","","4,54","33","4,3","66"
"Благоевград","Сатовча","Кочан","109055","Средно училище ""Христо Смирненски""","3,54","21","4,88","4","","","","","3,36","8","5,51","3","3,11","2","4,89","3","5,53","1","","","","","","","","","","","4,25","21","3,9","42"
"Благоевград","Сатовча","Сатовча","109050","Средно училище ""Св. Св. Кирил и Методий""","4,03","35","","","4,32","5","","","4,03","19","3,2","1","4,2","4","5,21","4","5,14","2","","","","","","","","","","","4,27","35","4,15","70"
"Благоевград","Сатовча","Слащен","109037","Средно училище ""Свети Климент Охридски""","4,13","31","","","4,29","2","4,77","3","3,37","4","5,67","1","3,75","6","5,11","14","","","","","","","","","","","","","4,53","30","4,33","61"
"Благоевград","Симитли","Крупник","109102","Средно училище ""Св.св.Кирил и Методий""","3,04","15","","","3,75","1","","","2,92","16","","","","","","","5,72","1","","","","","","","","","","","3,12","18","3,09","33"
"Благоевград","Симитли","Симитли","103133","Средно училище ""Св. Св. Кирил и Методий""","3,87","24","","","","","","","3,4","8","","","","","4,25","13","5,7","3","","","","","","","","","","","4,15","24","4,01","48"
