"","","","","среден успех по предмети в точки","","","","",""
"Област","Населено място","Име на училище","Общо ученици","БЕЛ","МАТ","ЧО","ЧП","общ среден успех","максимален бал 20 точки за всички предмети"
"Благоевград","Благоевград","Второ основно училище  ""Димитър Благоев""","70","17.33","17.62","15.29","18.93","17.29",""
"Благоевград","Благоевград","Четвърто основно училище  "" Димчо Дебелянов""","48","16.95","16.5","17.48","17.44","17.09",""
"Благоевград","Благоевград","Седмо средно общообразователно  училище ""Кузман Шапкарев""","89","17.57","16.88","15.67","18.3","17.11",""
"Благоевград","Благоевград","Единадесето основно училище   ""Христо Ботев""","46","16.27","14.91","14.84","16.98","15.75",""
"Благоевград","Благоевград","Средно общообразователно училище с изучаване   на чужди езици ""Свети Климент Охридски""","46","17.33","15.48","15.1","18.12","16.51",""
"Благоевград","Благоевград","Трето основно училище ""Димитър Талев""","122","16.42","16.56","15.02","17.97","16.49",""
"Благоевград","Гърмен","Средно общообразователно училище ""Св.Св.Кирил и Методий""","27","12.92","13.56","14","14.22","13.66",""
"Благоевград","Благоевград","Осмо средно общообразователно училище    ""Арсени Костенцев""","70","16.73","16.57","14.91","17.76","16.49",""
"Благоевград","Благоевград","Девето основно училище   "" Пейо Крачолов Яворов""","25","17.1","16.73","15.7","16.39","16.48",""
"Благоевград","Благоевград","Средно общообразователно училище   ""Иван Вазов""","67","14.97","16.98","17.2","18.94","17.04",""
"Благоевград","Места","Основно училище  ""Свети свети Кирил и Методий""","13","17.69","16.77","17.77","18.85","17.77",""
"Благоевград","Благоевград","Пето средно общообразователно училище   ""Георги Измирлиев""","44","17.59","17.15","15.72","18.31","17.19",""
"Благоевград","Сандански","Второ основно училище    ""Христо Смирненски""","81","15.5","15.7","15.05","16.97","15.8",""
"Благоевград","Рибново","Средно общообразователно училище   ""Йордан  Йовков""","42","13.32","16.37","12.59","17.87","15.04",""
"Благоевград","Огняново","Основно училище  ""Пейо Крачолов Яворов""","22","17.14","15.86","14.91","17.05","16.24",""
"Благоевград","Дебрен","Основно училище   ""Св. Климент  Охридски""","24","13.58","13.54","11.91","16.17","13.8",""
"Благоевград","Горно Дряново","Основно   училище  "" Св. Паисий   Хилендарски""","17","10.47","11.56","12","13.57","11.9",""
"Благоевград","Долно Дряново","Основно училище ""Христо Ботев""","18","15.12","13.69","12.35","17.35","14.63",""
"Благоевград","Хвостяне","Основно училище""Димитър Талев""","10","14.9","14","13.8","17.1","14.95",""
"Благоевград","Дъбница","Основно училище ""Христо Ботев""","22","16.09","16.09","17.09","18.77","17.01",""
"Благоевград","Симитли","Средно общообразователно   училище  ""Св. Св. Кирил и Методий""","73","16.36","16.24","16.39","17.84","16.71",""
"Благоевград","Петрич","Средно общообразователно училище  ""Никола Йонков Вапцаров""","104","17.82","17.28","17","18.59","17.67",""
"Благоевград","Брезница","Средно общообразователно училище   ""Св. Св. Кирил и Методий""","33","15.35","14.97","14.97","17.52","15.7",""
"Благоевград","Гоце Делчев","Първо основно училище ""Св. Св. Кирил и Методий""","96","17.88","17.23","16.26","18.46","17.46",""
"Благоевград","Гоце Делчев","Второ основно училище  ""Гоце Делчев""","70","17.1","17.64","17.56","18.98","17.82",""
"Благоевград","Гоце Делчев","Трето основно училище   ""Братя Миладинови""","41","17.42","15.95","14.22","17.12","16.18",""
"Благоевград","Мусомища","Основно училище  ""Христо Ботев""","13","15","15.15","15","18.25","15.85",""
"Благоевград","Борово","Основно училище   ""Св. Климент Охридски""","13","14.23","15.62","14.23","17.46","15.39",""
"Благоевград","Буково","Основно училище "" Иван Вазов""","10","15.1","16.2","17","18.4","16.67",""
"Благоевград","Баничан","Основно училище   ""Свети Паисий Хилендарски""","9","12.75","11.33","17.56","18","14.91",""
"Благоевград","Лъжница","Основно училище  ""Петър  Берон""","19","15.06","16.5","14.11","17.26","15.73",""
"Благоевград","Корница","Oсновно училище   ""Св. Паисий Хилендарски""","22","15","15.76","13.62","17.9","15.57",""
"Благоевград","Разлог","Средно  общообразователно училище    ""Братя Петър и Иван Каназиреви""","13","17.25","15.83","15.42","17.08","16.4",""
"Благоевград","Разлог","Основно училище  Никола Парапунов","33","16.23","16.97","14.66","17.87","16.41",""
"Благоевград","Баня","Основно училище   ""Св. Паисий Хилендарски""","41","15.63","15.26","14.21","16.18","15.32",""
"Благоевград","Бачево","Основно училище ""Св. Св. Кирил и Методий""","16","14.42","14.75","15.85","17","15.51",""
"Благоевград","Горно Драглище","Основно училище ""Неофит Рилски""","8","15.43","12.29","17.5","16.33","15.39",""
"Благоевград","Добърско","Начално  училище ""Свети Климент Охридски""","7","18.14","18.29","16.71","19.14","18.07",""
"Благоевград","Елешница","Основно училище   ""Братя Миладинови""","9","14","16","15.67","17.89","15.89",""
"Благоевград","Разлог","Начално училище ""Яне Сандански""","36","15.82","15.45","14.67","17.52","15.87",""
"Благоевград","Разлог","Начално училище""Св.Св.Кирил и Методий""","48","17.11","17.39","16.83","17.6","17.23",""
"Благоевград","Петрич","Средно общообразователно училище   ""Антон Попов""","33","15.56","17.39","16.64","17.21","16.7",""
"Благоевград","Коларово","Средно общообразователно училище   ""Васил Левски""","17","16.41","15.29","15.65","16.59","15.98",""
"Благоевград","Първомай","Средно общообразователно училище   ""Св.Паисий Хилендарски""","32","14.19","14.73","13.46","16.19","14.64",""
"Благоевград","Скрът","Основно училище ""Пейо Крачолов  Яворов""","13","17.38","16.92","15.23","18.69","17.05",""
"Благоевград","Петрич","Първо основно училище  ""Кочо Мавродиев""","45","16.4","16.48","16.05","17.33","16.56",""
"Благоевград","Петрич","Трето основно училище  ""Гоце Делчев""","88","17.51","16.47","15.77","18.16","16.98",""
"Благоевград","Петрич","Четвърто основно училище""Христо Смирненски""","52","17.27","17.2","16.12","17.67","17.06",""
"Благоевград","Самуилово","Основно училище ""Антон Попов""","4","16.75","14.75","15.5","18.5","16.38",""
"Благоевград","Михнево","Основно Училище  ""Екзарх Йосиф""","10","13.7","14.1","16.4","18.7","15.73",""
"Благоевград","Рупите","Основно Училище   ""Св.св. Кирил и Методий""","14","13.09","14.78","16.17","15.15","14.84",""
"Благоевград","Марикостиново","Основно училище ""Св. Св. Кирил и Методий""","18","17.39","17.17","16","17.94","17.12",""
"Благоевград","Кулата","Основно училище ""Св.Св. Кирил и Методий""","13","17","17.54","18","18","17.63",""
"Благоевград","Беласица","Основно училище ""Христо Ботев""","12","15.27","16.64","14.91","17.09","15.98",""
"Благоевград","Кавракирово","Основно училище   ""Св.Св. Кирил и Методий""","18","13.78","15.33","14.17","16.17","14.86",""
"Благоевград","Кърналово","Основно училище ""Братя Миладинови""","17","17.44","18","18.47","18.47","18.09",""
"Благоевград","Сандански","Първо основно училище   ""Св. Климент Охридски""","70","17.58","17.12","14.92","17.51","16.78",""
"Благоевград","Сандански","Трето основно училище   ""Христо Ботев""","77","15.05","15.47","13.73","17.05","15.33",""
"Благоевград","Сандански","Четвърто основно училище   "" Св. Св. Козма и Дамян ""","46","15.17","13.67","13.55","15.51","14.48",""
"Благоевград","Склаве","Основно училище   ""Братя  Миладинови""","35","10.3","11.2","9.94","14.64","11.58",""
"Благоевград","Дамяница","Основно  училище   ""Св.Св. Кирил и Методий""","29","15.78","15.38","14.52","15.79","15.37",""
