"﻿""Област""","Населено място","Тип","Име на училище","Общ брой ученици","География и икономика / Макс 18","История и цивилизация / Макс 18","Физика и астрономия / Макс 15","Химия и опазване на околната среда / Макс 15","Биология и здравно образование / Макс 15","Чужд език / Макс 35","Български език и литература / Макс 65","Математика / Макс 65"
"Благоевград","Благоевград","град","ІІ ОУ ""Д. Благоев""","51","13.29","13.16","11.04","11.69","10.61","26.25","33.02","23.86"
"Благоевград","Благоевград","град","ІV ОУ ""Димчо Дебелянов""","39","14.31","13.1","9.56","10.54","9.62","24.08","35.19","29.62"
"Благоевград","Благоевград","град","VІІ СОУ","60","13.78","13.15","10.7","11.12","10.1","25.69","39.11","33.2"
"Благоевград","Благоевград","град","ХІ ОУ  ""Христо Ботев""","45","14.05","14.28","11.38","12.3","10.59","25.05","36.01","32.92"
"Благоевград","Благоевград","град","ПМГ ""Акад. С. П. Корольов""","30","16.17","15.33","12.2","12.33","10.73","33.03","51.3","56.33"
"Благоевград","Благоевград","град","СОУИЧЕ ""Св. Кл. Охридски""","59","14.2","11.73","8.59","7.57","8.2","23.93","31.57","25.64"
"Благоевград","Благоевград","град","ІІІ ОУ ""Д.Талев""","122","15.73","15.03","11.68","11.34","12.19","29.73","44.47","37.92"
"Благоевград","Гърмен","село","СОУ""Св.св.Кирил и Методий","24","8.15","8.75","6.33","5.67","5.95","15.39","25.9","20.06"
"Благоевград","Благоевград","град","VІІІ СОУ ""Арсени Костенцев""","77","14.13","12.64","9.83","10.21","10.97","25.45","33.06","30.57"
"Благоевград","Благоевград","град","ІХ ОУ ""Пейо Кр. Яворов""","19","10.79","10.71","7.38","6.75","7.31","18.44","13.44","11"
"Благоевград","Благоевград","град","Национална хуманитарна гимназия ""Св.св.Кирил и Методий""","","","","","","","","",""
"Благоевград","Благоевград","град","VI СОУ ""Иван Вазов""","55","14.47","12.31","11.42","9.92","10.28","23.94","35.98","25.58"
"Благоевград","Гоце Делчев","град","ПМГ ""Яне Сандански""","29","14.93","14.48","11.76","11.24","9.69","31.24","41.79","45.48"
"Благоевград","Места","село","ОУ ""Св. св. Кирил и Методий""","13","15.55","14.18","10.27","12.36","9.91","20.82","33.33","11.42"
"Благоевград","Благоевград","град","V СОУ ""Георги Измирлиев""","37","11.89","12.19","9.06","6.11","8.89","24.94","31.3","30.56"
"Благоевград","Сандански","град","ІІ ОУ""Хр.Смирненски""","69","12.51","12.44","9.41","9.42","9.32","24.65","32.14","31.88"
"Благоевград","Рибново","село","СОУ""Йордан Йовков""","36","9.72","13.45","8.28","7.83","7.28","20.73","22.93","23.85"
"Благоевград","Огняново","село","ОУ""П.К.Яворов""","21","10.86","11","9.81","9.71","9.48","19","28.21","30.86"
"Благоевград","Дебрен","село","ОУ ""Св. Климент Охридски""","20","13.83","14.28","10.05","9.25","9.95","21.45","22.65","28.8"
"Благоевград","Горно Дряново","село","ОУ""Св.Паисий Хилендарски""","9","12.17","13.33","9.5","11","10.33","18.33","35.64","27"
"Благоевград","Долно Дряново","село","ОУ ""Христо Ботев""","14","12","12.64","12.79","11.57","11.29","26.64","35.14","25.07"
"Благоевград","Хвостяне","село","ОУ ""Димитър Талев""","10","11.2","10","7.5","6.8","6.1","16.8","14.75","11.2"
"Благоевград","Дъбница","село","ОУ Дъбница","18","14.35","13.06","9.88","9.29","10.18","21.29","33.16","19.88"
"Благоевград","Симитли","град","СОУ""Св.Св.Кирил и Методий""","78","13.96","11.37","9.25","8.08","10.22","22.33","30.11","20.5"
"Благоевград","Петрич","град","СОУ""Никола Й.Вапцаров""","96","13.64","13.01","10.63","9.58","10.5","23.68","31.34","23.21"
"Благоевград","Брезница","село","СОУ-Брезница","27","13.81","13.04","11.04","8.92","8.88","23.74","31.67","21.78"
"Благоевград","Гоце Делчев","град","І ОУ ""Св.Св. Кирил и Методий""","74","13.25","12.88","9.82","9.9","11.08","24.32","35.72","24.3"
"Благоевград","Гоце Делчев","град","ІІ ОУ""Гоце Делчев""","50","14.2","12.41","9.56","9.16","9.12","22.41","33.88","20.93"
"Благоевград","Гоце Делчев","град","ІІІ -то ОУ""Братя Миладинови""","23","13.19","12.19","8.71","7.33","8","19.43","26.52","14"
"Благоевград","Мусомища","село","ОУ  ""Христо Ботев""","18","11.17","10.39","7.44","7.72","8.11","14.78","26.17","18.89"
"Благоевград","Борово","село","ОУ ""Св.Климент Охридски""","10","13.3","10.7","9.4","11.8","8.9","18.4","28.44","16.67"
"Благоевград","Буково","село","ОУ "" Иван Вазов""","10","13.2","12.5","8.1","10.2","9.3","19.2","36.4","17.7"
"Благоевград","Баничан","село","ОУ ""Свети Паисий Хилендарски""","9","16.43","14.57","9.5","10.75","9.75","19.57","22.06","11.88"
"Благоевград","Лъжница","село","ОУ ""Петър Берон""","21","11.76","10.9","9.95","9.81","8.95","21.5","29.67","23.48"
"Благоевград","Корница","село","ОУ""Св. Паисий Хилендарскси""","19","14.84","14.68","13.05","12.21","11.79","29.38","31.32","33.16"
"Благоевград","Разлог","град","СОУ""Бр.Каназиреви""","38","14.59","13.14","10","11.03","8.7","25.96","36.27","36.43"
"Благоевград","Разлог","град","ОУ Никола Парапунов","77","13.9","13.36","9.57","7.99","8.45","22.42","26.12","21.45"
"Благоевград","Баня","село","ОУ ""Св. Паисий Хилендарски""","33","11.96","11.71","9.79","9.96","9.82","18.71","24.55","18.29"
"Благоевград","Бачево","село","ОУ ""Св. Св. Кирил и Методий""","13","10.38","12","8.23","6.54","7.92","21.45","28.83","28.08"
"Благоевград","Горно Драглище","село","ОУ ""Неофит Рилски""","10","13.67","14.11","11.33","11.78","12.22","25","31.75","28.5"
"Благоевград","Елешница","село","ОУ""Братя Миладинови""","5","9.6","9.2","8.6","6.8","9.2","20.8","12.2","12.2"
"Благоевград","Петрич","град","СОУ ""Антон Попов""","19","12.79","13.42","11.74","8.89","9.95","25.95","24.74","24.63"
"Благоевград","Коларово","село","СОУ ""Васил Левски""","17","13.35","13.41","11.65","10.59","10.71","21.94","33.12","26.12"
"Благоевград","Първомай","село","СОУ ""Св.Паисий Хилендарски""","39","12.42","11.32","10.68","8.05","8.87","23.32","32.38","21.97"
"Благоевград","Скрът","село","ОУ ""Пейо Крачолов Яворов""","13","14.23","14.46","9.46","9.92","9.54","19.15","31.46","21"
"Благоевград","Петрич","град","І-во ОУ""Кочо Мавродиев""","55","13.96","13.98","10.94","9.57","9.43","25.96","32.09","26.13"
"Благоевград","Петрич","град","ІІІ ОУ ""Гоце Делчев""","53","14.88","14.84","11.3","9.74","9.76","28.1","37.32","33.12"
"Благоевград","Петрич","град","ІV ОУ ""Хр. Смирненски""","49","11.8","12.33","10","9.94","9.92","22.27","27.79","21.29"
"Благоевград","Михнево","село","ОУ ""Екзарх Йосиф""","17","14.69","16.88","11.75","10","10.25","25.81","24.5","36.44"
"Благоевград","Рупите","село","ОУ ""Св.св. Кирил и Методий""","17","10.6","9.8","7.69","7.46","8.62","16.11","12.42","14.5"
"Благоевград","Марикостиново","село","ОУ ""Св.Св.Кирил и Методий""","12","13.25","14.92","9.33","9.17","10.42","23.58","26.46","17.67"
"Благоевград","Кулата","село","ОУ ""Св.Св.Кирил и Методий""","12","12.33","12.42","10.5","10.7","10.2","22.4","23.44","17.86"
"Благоевград","Беласица","село","ОУ""Хр.Ботев""","11","14.2","12","11.44","10.56","10.33","25.5","26.14","19.27"
"Благоевград","Кавракирово","село","ОУ ""Св.Св.Кирил и Методий""","17","9.73","9.73","7.69","8.31","9.62","20.33","21.93","16"
"Благоевград","Кърналово","село","ОУ ""Братя Миладинови""","11","9.7","9.3","8.27","7.36","7.55","22.14","26.14","23.55"
"Благоевград","Сандански","град","І ОУ ""Св. Климент Охридски""","58","14.71","13.62","11.09","11.52","9.97","25.47","38.16","32.4"
