id,label
00019001,РЪКОВОДИТЕЛИ
00119002,"ЗАКОНОДАТЕЛИ, ВИСШИ ПРЕДСТАВИТЕЛИ И ИЗПЪЛНИТЕЛНИ ДИРЕКТОРИ "
01119003,Законодатели и висши представители
11119004,Законодатели 
11119005,Президент на Република България
11119006,Вицепрезидент на Република България
11119007,Председател на Народно събрание
11119008,Заместник-председател на Народно събрание
11119009,"Председател на комисия, Народно събрание"
11119010,"Заместник-председател на комисия, Народно събрание"
11119011,Народен представител
11119012,Омбудсман
11117013,Заместник-омбудсман
11117014,Министър-председател
11116015,Заместник-министър-председател
11119016,Министър
11114017,Заместник-министър
11119018,"Началник на политически кабинет, министър"
11119019,Говорител на Министър-председателя
11119020,"Кмет, община"
11119021,"Заместник-кмет, община"
11119022,"Кмет, кметство"
11114023,"Председател, общински съвет"
11113024,"Заместник-председател, общински съвет"
11117025,Общински съветник
11117026,"Кмет, район"
11117027,"Заместник-кмет, район"
11117028,"Кметски наместник, община"
11119029,Главен прокурор
11117030,Заместник-главен прокурор
11117031,"Директор, Национална следствена служба"
11117032,"Заместник-директор, Национална следствена служба"
11117033,Председател на Конституционен съд
11117034,"Председател, Върховен касационен съд"
11117035,"Председател, Върховен административен съд"
11117036,"Председател, Апелативен съд"
11117037,"Председател, окръжен съд"
11117038,"Председател, районен съд"
11117039,"Председател на отделение, Върховен касационен съд"
11117040,"Председател отделение, Върховен административен съд"
11117041,"Председател, градски съд"
11117042,"Заместник-председател, Върховен касационен съд"
11117043,"Заместник-председател, Върховен административен съд"
11117044,"Заместник-председател, апелативен съд"
11117045,"Заместник-председател, градски съд"
11117046,"Заместник-председател, окръжен съд"
11117047,"Заместник-председател, районен съд"
11117048,Началник на кабинета на заместник министър-председател
11117049,Началник на кабинета на министър-председателя
11117050,Апелативен прокурор/ Военно-апелативен прокурор
11117051,Окръжен прокурор/ Военно-окръжен прокурор
11110000,Градски прокурор
11117001,Районен прокурор
11117002,Завеждащ окръжен следствен отдел в окръжна прокуратура
11117003,Заместник-окръжен прокурор/ Заместник военно-окръжен прокурор/ Заместник-градски прокурор
11127004,Висши представители на държавни органи 
11127005,"Главен секретар, администрация на Президента"
11127006,"Главен секретар, администрация на Народно събрание"
11127007,"Директор дирекция, администрация на Народно събрание"
11127008,"Секретар, Народно събрание"
11127009,"Държавен съветник, Народно събрание/Президентство"
11127010,"Началник протокол, Народно събрание/Президентство"
11129011,"Ръководител пресслужба, Народно събрание/Президентство"
11129012,Главен държавен здравен инспектор
11127013,Областен управител
11127014,Заместник-областен управител
11129015,"Управител, Национален осигурителен институт"
11129016,"Подуправител, Национален осигурителен институт"
11129017,"Председател, Национален статистически институт"
11129018,"Заместник-председател, Национален статистически институт"
11129019,"Управител, Българска народна банка"
11127020,"Подуправител, Българска народна банка"
11129021,"Председател, Сметна палата"
11129022,"Управител, Национална здравно-осигурителна каса"
11127023,"Председател, държавна комисия"
11127024,"Заместник-председател, държавна комисия"
11126025,Председател на Икономически и социален съвет
11127026,"Председател, Надзорен съвет на агенция"
11127027,"Изпълнителен директор, агенция"
11127028,"Заместник-изпълнителен директор, агенция"
11127029,"Началник, митническо бюро"
11127030,"Главен секретар, администрация"
11127031,"Главен секретар, Сметна палата"
11127032,"Директор териториална дирекция, агенция "
11127033,"Държавен съкровищник, Министерство на финансите"
11127034,"Заместник-главен инспектор, Министерство на отбраната"
11127035,"Директор, регионална митническа дирекция"
11127036,"Заместник-директор, регионална митническа дирекция"
11127037,"Началник, митница"
11127038,"Заместник-началник, митница"
11127039,"Директор, териториално статистическо бюро"
11127040,"Началник, регионално управление на образованието"
11127041,Началник регионална дирекция
11127042,Посланик
11127043,Временно управляващ посолство
11127044,Генерален консул
11127045,Консул
11127046,Аташе
11127047,"Главен директор, главна дирекция в администрация"
